age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,cons.price.idx,cons.conf.idx,euribor3m,y
56,housemaid,married,basic,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
57,services,married,high.school,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
37,services,married,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
40,admin.,married,basic,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
56,services,married,high.school,no,no,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
45,services,married,basic,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
59,admin.,married,professional.course,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
24,technician,single,professional.course,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
25,services,single,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
25,services,single,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
29,blue-collar,single,high.school,no,no,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
57,housemaid,divorced,basic,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
35,blue-collar,married,basic,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
54,retired,married,basic,unknown,yes,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
35,blue-collar,married,basic,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
46,blue-collar,married,basic,unknown,yes,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
50,blue-collar,married,basic,no,yes,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
39,management,single,basic,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
30,unemployed,married,high.school,no,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
55,blue-collar,married,basic,unknown,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
55,retired,single,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
41,technician,single,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
37,admin.,married,high.school,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
35,technician,married,university.degree,no,no,yes,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
59,technician,married,unknown,no,yes,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
39,self-employed,married,basic,unknown,no,no,telephone,may,mon,1,0,0,nonexistent,93.994,-36.4,4.857,0
